strainID,Assay Raw
M9,0.4144
M643,0.3562
M643,0.348
M643,0.35
M644,0.3513
M644,0.3607
M644,0.3555
M644,0.3866
M644,0.3342
M643,0.3819
M9,0.3976
M643,0.4047
M643,0.355
M644,0.3464
M644,0.3582
M644,0.3873
M644,0.3609
M644,0.3578
M643,0.4134
M643,0.3595
M643,0.3517
M643,0.3509
M644,0.3601
M644,0.3938
M644,0.3576
M644,0.3607
M644,0.3705
M643,0.3513
M643,0.3675
M643,0.3689
M9,0.3967
M644,0.3782
M644,0.3491
M9,0.3849
M644,0.3854
M644,0.3969
M643,0.3621
M643,0.3546
M643,0.35700000000000004
M643,0.3538
M9,0.4108
M644,0.3739
M644,0.3576
M9,0.3838
M644,0.358
M643,0.3844
M643,0.3720000000000001
M643,0.3902
M644,0.3589
M644,0.3498
M644,0.3548
M644,0.3791
M644,0.3781
M644,0.3733
M643,0.3595
M643,0.3577
M643,0.3551
M644,0.3807
M644,0.3582
M728,0.3429
M644,0.3566
M644,0.3614
M644,0.3703
M644,0.3668
M9,0.3875
M643,0.3757
M643,0.4179
M643,0.3621
M644,0.3618
M644,0.3765
M728,0.3399
M644,0.3545
M644,0.3868
M644,0.3857
M644,0.3702
M9,0.4005
M9,0.3974
M649,0.3748
M650,0.3504
M650,0.3564
M650,0.3603
M649,0.3513
M9,0.3962
M650,0.4063
M650,0.3786
M650,0.4136
M649,0.3591
M649,0.3678
M650,0.3966
M650,0.3818
M650,0.3738
M649,0.3659
M649,0.3527
M650,0.354
M9,0.4135
M650,0.3604
M9,0.4057
M649,0.4024
M649,0.3711
M650,0.3535
M650,0.4069
M9,0.4034
M9,0.4117
M649,0.4012
M650,0.3971
M650,0.3907
M650,0.363
M650,0.3526
M649,0.3819
M650,0.3822
M650,0.3573
M650,0.4014
M650,0.3642
M728,0.3355
M9,0.40399999999999997
M649,0.3744
M650,0.3765
M650,0.3697
M650,0.4745
M650,0.3751
M728,0.3432
M9,0.3911
M9,0.3995
M645,0.3725
M645,0.3982
M645,0.3813
M645,0.3691
M645,0.4072
M645,0.3767
M645,0.3638
M646,0.3864
M646,0.3704
M646,0.3894
M645,0.3707
M9,0.4169
M645,0.3699
M645,0.3853
M645,0.3836
M645,0.3574
M645,0.3713
M645,0.3507
M646,0.3582
M646,0.4037
M646,0.3678
M645,0.3624
M645,0.3686
M645,0.3626
M645,0.3915
M645,0.3789
M645,0.3753
M645,0.3751
M645,0.36200000000000004
M646,0.3659
M646,0.365
M646,0.395
M645,0.371
M645,0.3731
M645,0.3716
M9,0.3864
M645,0.374
M645,0.37799999999999995
M9,0.391
M646,0.3927
M646,0.4003
M646,0.3693
M646,0.3677
M645,0.3783
M645,0.3813
M645,0.3693
M645,0.4401
M9,0.4044
M645,0.4084
M645,0.3798
M9,0.41600000000000004
M646,0.4051
M646,0.3962
M646,0.3847
M645,0.3703
M645,0.3751
M645,0.3794
M645,0.3928
M645,0.3603
M645,0.3874
M645,0.387
M646,0.3675
M646,0.3944
M646,0.3984
M646,0.3744
M645,0.3854
M645,0.3882
M645,0.3776
M645,0.3678
M645,0.3847
M728,0.3367
M645,0.3728
M645,0.3986
M646,0.3566
M646,0.3743
M9,0.3916
M646,0.3994
M645,0.395
M645,0.3897
M645,0.3801
M645,0.35
M645,0.3752
M728,0.3432
M645,0.3646
M645,0.4121
M646,0.3614
M646,0.3785
M646,0.3594
M9,0.3898
M9,0.3976
M646,0.3818
M646,0.3857
M646,0.3844
M646,0.3497
M651,0.3486
M651,0.3515
M651,0.3845
M651,0.3663
M651,0.3994
M651,0.3738
M646,0.376
M9,0.3852
M646,0.4119
M646,0.3567
M651,0.3591
M651,0.3668
M651,0.3674
M651,0.3917
M651,0.3618
M651,0.3686
M651,0.3638
M646,0.3721
M646,0.3706
M646,0.3805
M646,0.3808
M651,0.3628
M651,0.3729
M651,0.4078
M651,0.3824
M651,0.3748
M651,0.3684
M651,0.3756
M646,0.3833
M646,0.3719
M646,0.371
M9,0.4039
M651,0.3806
M651,0.3594
M9,0.39799999999999996
M651,0.3758
M651,0.37799999999999995
M651,0.3792
M651,0.3762
M646,0.3734
M646,0.3633
M646,0.3893
M646,0.3831
M9,0.3945
M651,0.3916
M651,0.3587
M9,0.4089
M651,0.369
M651,0.381
M651,0.37
M646,0.3901
M646,0.3709
M646,0.4194
M646,0.3854
M651,0.4414
M651,0.3711
M651,0.3883
M651,0.3651
M651,0.4047
M651,0.4032
M651,0.3557
M646,0.3708
M646,0.3745
M646,0.3826
M646,0.41100000000000003
M651,0.3713
M728,0.3345
M651,0.3558
M651,0.3729
M651,0.364
M651,0.3834
M9,0.395
M651,0.3632
M646,0.4014
M646,0.4364
M646,0.3641
M646,0.4069
M651,0.3814
M728,0.3341
M651,0.3761
M651,0.3693
M651,0.3674
M651,0.3726
M651,0.39399999999999996
M9,0.3934
M9,0.3603
M651,0.3407
M651,0.3326
M652,0.3703
M652,0.3407
M652,0.3315
M652,0.3291
M652,0.3429
M652,0.3323
M652,0.3534
M652,0.3488
M651,0.3386
M9,0.3694
M651,0.3631
M652,0.3309
M652,0.3197
M652,0.3381
M652,0.3326
M652,0.3658
M652,0.3353
M652,0.3468
M652,0.3374
M651,0.3233
M651,0.3416
M651,0.3771
M652,0.3362
M652,0.3638
M652,0.3276
M652,0.3443
M652,0.3286
M652,0.3728
M652,0.3802
M652,0.3367
M651,0.3342
M651,0.3333
M651,0.3561
M9,0.3535
M652,0.3687
M652,0.3554
M9,0.3547
M652,0.3488
M652,0.3386
M652,0.3452
M652,0.3212
M651,0.35700000000000004
M651,0.3706
M651,0.3581
M652,0.3643
M9,0.3706
M652,0.3724
M652,0.3379
M9,0.3739
M652,0.3583
M652,0.3732
M652,0.3464
M651,0.3152
M651,0.321
M652,0.3511
M652,0.3591
M652,0.3346
M652,0.3603
M652,0.3543
M652,0.3502
M652,0.3887
M652,0.3586
M652,0.3624
M651,0.3213
M651,0.3283
M652,0.3373
M652,0.3439
M652,0.3384
M728,0.298
M652,0.32799999999999996
M652,0.35100000000000003
M652,0.3312
M652,0.3504
M9,0.3636
M652,0.3483
M651,0.3582
M651,0.3388
M652,0.3455
M652,0.3412
M652,0.3426
M728,0.2998
M652,0.3184
M652,0.3593
M652,0.3372
M652,0.3428
M652,0.3405
M9,0.3835
M9,0.4069
M647,0.3826
M647,0.4166
M647,0.4027
M647,0.3868
M647,0.3964
M648,0.3851
M648,0.3806
M648,0.3672
M648,0.3789
M648,0.3951
M647,0.3808
M9,0.4004
M647,0.3676
M647,0.3939
M647,0.3981
M647,0.3873
M648,0.3859
M648,0.3816
M648,0.3670000000000001
M648,0.3872
M648,0.3677
M647,0.3846
M647,0.3981
M647,0.3907
M647,0.3688
M647,0.3959
M648,0.3871
M648,0.3858
M648,0.3716
M648,0.5085
M648,0.3926
M648,0.3883
M647,0.3938
M647,0.3982
M647,0.3765
M9,0.4066
M647,0.387
M648,0.3747
M9,0.408
M648,0.3752
M648,0.3868
M648,0.4158
M648,0.4006
M647,0.4066
M647,0.3926
M647,0.3908
